1	0	6
2	0	4
2	1	4
4	3	4
5	0	1
5	2	1
5	3	5
5	4	6
6	4	2
6	5	2
7	3	2
7	4	1
7	5	2
7	6	3
8	1	1
8	4	3
8	6	3
8	7	7
9	2	2
9	3	2
9	5	1
9	6	1
9	7	5
9	8	1
10	1	1
10	2	1
10	3	2
10	4	1
10	5	1
10	6	1
10	7	3
10	8	5
10	9	3
11	3	1
11	4	3
11	6	2
11	8	3
11	9	5
11	10	7
12	5	4
12	6	1
12	7	3
12	8	3
12	9	10
12	10	13
12	11	3
13	1	1
13	3	1
13	4	1
13	5	1
13	6	1
13	7	2
13	8	1
13	9	4
13	10	3
13	11	1
13	12	3
14	4	1
14	7	4
14	8	1
14	9	3
14	10	2
14	11	3
14	12	5
14	13	2
15	3	2
15	4	2
15	5	2
15	7	2
15	8	2
15	9	6
15	12	4
15	13	1
15	14	11
16	3	2
16	4	3
16	5	1
16	6	2
16	7	2
16	8	2
16	9	2
16	10	1
16	12	2
16	13	1
16	14	1
16	15	6
17	3	2
17	4	1
17	7	1
17	8	1
17	9	2
17	10	2
17	11	3
17	12	2
17	14	2
17	15	1
17	16	4
18	3	6
18	4	2
18	5	2
18	6	1
18	7	3
18	8	2
18	9	2
18	13	1
18	14	2
18	15	1
18	17	7
19	2	1
19	3	2
19	6	2
19	7	2
19	9	4
19	11	1
19	12	2
19	13	1
19	14	4
19	15	1
19	16	2
19	18	6
20	3	1
20	7	2
20	8	3
20	10	2
20	11	1
20	12	1
20	13	2
20	15	2
20	16	1
20	17	2
20	18	1
20	19	2
21	4	1
21	6	1
21	10	1
21	14	3
21	15	6
21	16	4
21	17	4
21	18	3
21	19	2
21	20	5
22	3	2
22	4	1
22	6	1
22	7	1
22	8	1
22	11	2
22	12	2
22	13	2
22	14	3
22	15	2
22	17	5
22	18	4
22	19	2
22	20	1
22	21	2
23	3	2
23	4	2
23	5	1
23	6	4
23	7	2
23	8	1
23	9	2
23	10	3
23	12	2
23	13	1
23	14	2
23	17	7
23	18	2
23	19	1
23	20	2
23	21	2
23	22	3
24	3	3
24	4	2
24	5	5
24	6	2
24	7	3
24	8	3
24	9	1
24	10	1
24	11	2
24	12	1
24	13	4
24	14	2
24	15	3
24	16	1
24	17	4
24	18	2
24	19	3
24	20	3
24	21	2
24	22	3
24	23	5
25	1	1
25	3	2
25	4	4
25	5	1
25	7	2
25	8	1
25	9	2
25	10	2
25	11	2
25	12	2
25	13	1
25	15	1
25	17	2
25	18	1
25	20	3
25	22	1
25	23	2
25	24	3
26	3	3
26	8	1
26	11	1
26	14	1
26	17	1
26	19	1
26	20	1
26	22	2
26	23	1
26	24	1
26	25	6
27	1	1
27	3	1
27	4	1
27	5	2
27	8	1
27	9	2
27	10	4
27	11	7
27	12	2
27	13	4
27	14	1
27	15	1
27	16	3
27	17	1
27	18	2
27	20	1
27	22	1
27	23	1
27	24	3
27	25	5
27	26	1
28	3	1
28	4	1
28	5	1
28	6	2
28	7	1
28	8	1
28	9	4
28	10	2
28	11	3
28	12	2
28	13	3
28	14	2
28	15	2
28	16	1
28	17	1
28	19	2
28	20	1
28	21	1
28	22	1
28	23	1
28	24	2
28	25	4
28	26	1
28	27	11
29	3	1
29	5	1
29	6	1
29	8	1
29	9	2
29	10	2
29	12	1
29	13	1
29	14	1
29	15	1
29	19	1
29	23	1
29	25	1
29	28	3
30	1	1
30	3	1
30	5	1
30	6	1
30	7	1
30	8	2
30	10	2
30	12	1
30	13	1
30	14	1
30	15	2
30	16	1
30	17	1
30	19	1
30	27	2
30	28	2
31	4	1
31	5	3
31	6	1
31	9	1
31	10	2
31	11	1
31	12	2
31	13	3
31	15	1
31	16	1
31	19	2
31	23	1
31	24	1
31	25	3
31	27	2
31	28	1
31	30	6
32	4	2
32	6	1
32	8	2
32	9	2
32	11	4
32	16	2
32	19	1
32	25	1
32	27	2
32	28	1
32	29	1
32	30	1
33	2	2
33	6	3
33	8	4
33	9	2
33	10	1
33	12	2
33	17	1
33	25	1
33	28	1
33	29	2
33	30	3
33	31	3
33	32	4
34	6	1
34	8	2
34	9	2
34	11	2
34	12	2
34	13	1
34	16	1
34	17	1
34	23	2
34	27	1
34	28	3
34	30	2
34	31	5
34	32	3
34	33	11
35	1	1
35	2	2
35	3	2
35	4	5
35	5	1
35	6	3
35	8	3
35	9	4
35	10	4
35	11	2
35	12	6
35	14	2
35	15	3
35	16	1
35	17	2
35	19	2
35	21	2
35	22	3
35	24	1
35	25	4
35	26	2
35	27	4
35	28	1
35	29	3
35	30	1
35	31	1
35	33	1
36	5	2
36	6	2
36	7	1
36	8	2
36	9	3
36	10	3
36	11	6
36	12	4
36	13	1
36	15	2
36	16	1
36	19	2
36	20	1
36	21	1
36	22	2
36	23	1
36	24	1
36	25	1
36	27	2
36	28	1
36	32	1
36	33	2
36	35	6
37	3	1
